speciesCode,comName,sciName,locId,locName,obsDt,howMany,lat,lng,obsValid,obsReviewed,locationPrivate,subId,exoticCategory
savspa,Savannah Sparrow,Passerculus sandwichensis,L3041917,Dixon Meadow Preserve,2025-04-03 10:16,2.0,40.1003152,-75.2402115,True,False,False,S222651527,
norcar,Northern Cardinal,Cardinalis cardinalis,L3041917,Dixon Meadow Preserve,2025-04-03 10:16,1.0,40.1003152,-75.2402115,True,False,False,S222651527,
fiespa,Field Sparrow,Spizella pusilla,L3041917,Dixon Meadow Preserve,2025-04-04 19:18,1.0,40.1003152,-75.2402115,True,False,False,S222984047,
cangoo,Canada Goose,Branta canadensis,L3041917,Dixon Meadow Preserve,2025-04-04 18:41,1.0,40.1003152,-75.2402115,True,False,False,S222998713,
moudov,Mourning Dove,Zenaida macroura,L3041917,Dixon Meadow Preserve,2025-04-04 18:41,1.0,40.1003152,-75.2402115,True,False,False,S222998713,
carwre,Carolina Wren,Thryothorus ludovicianus,L3041917,Dixon Meadow Preserve,2025-04-04 18:41,1.0,40.1003152,-75.2402115,True,False,False,S222998713,
eursta,European Starling,Sturnus vulgaris,L3041917,Dixon Meadow Preserve,2025-04-04 18:41,10.0,40.1003152,-75.2402115,True,False,False,S222998713,N
normoc,Northern Mockingbird,Mimus polyglottos,L3041917,Dixon Meadow Preserve,2025-04-04 18:41,4.0,40.1003152,-75.2402115,True,False,False,S222998713,
amerob,American Robin,Turdus migratorius,L3041917,Dixon Meadow Preserve,2025-04-04 18:41,17.0,40.1003152,-75.2402115,True,False,False,S222998713,
houfin,House Finch,Haemorhous mexicanus,L3041917,Dixon Meadow Preserve,2025-04-04 18:41,2.0,40.1003152,-75.2402115,True,False,False,S222998713,N
sonspa,Song Sparrow,Melospiza melodia,L3041917,Dixon Meadow Preserve,2025-04-04 18:41,6.0,40.1003152,-75.2402115,True,False,False,S222998713,
swaspa,Swamp Sparrow,Melospiza georgiana,L3041917,Dixon Meadow Preserve,2025-04-04 18:41,1.0,40.1003152,-75.2402115,True,False,False,S222998713,
