species_code,common_name,scientific_name,location_id,location_name,observation_datetime,bird_count,latitude,longitude
norcar,Northern Cardinal,Cardinalis cardinalis,L1025768,Franklin Delano Roosevelt (FDR) Park,2026-06-05 08:21:00,3,39.9027901,-75.1819754
indbun,Indigo Bunting,Passerina cyanea,L1025768,Franklin Delano Roosevelt (FDR) Park,2026-06-05 08:21:00,1,39.9027901,-75.1819754
bbwduc,Black-bellied Whistling-Duck,Dendrocygna autumnalis,L1025768,Franklin Delano Roosevelt (FDR) Park,2026-06-06 17:41:00,1,39.9027901,-75.1819754
eawvir1,Eastern Warbling Vireo,Vireo gilvus,L1025768,Franklin Delano Roosevelt (FDR) Park,2026-06-06 17:41:00,1,39.9027901,-75.1819754
treswa,Tree Swallow,Tachycineta bicolor,L1025768,Franklin Delano Roosevelt (FDR) Park,2026-06-06 17:41:00,1,39.9027901,-75.1819754
nrwswa,Northern Rough-winged Swallow,Stelgidopteryx serripennis,L1025768,Franklin Delano Roosevelt (FDR) Park,2026-06-06 17:41:00,2,39.9027901,-75.1819754
buggna,Blue-gray Gnatcatcher,Polioptila caerulea,L1025768,Franklin Delano Roosevelt (FDR) Park,2026-06-06 17:41:00,1,39.9027901,-75.1819754
amerob,American Robin,Turdus migratorius,L1025768,Franklin Delano Roosevelt (FDR) Park,2026-06-06 17:41:00,3,39.9027901,-75.1819754
amegfi,American Goldfinch,Spinus tristis,L1025768,Franklin Delano Roosevelt (FDR) Park,2026-06-06 17:41:00,1,39.9027901,-75.1819754
balori,Baltimore Oriole,Icterus galbula,L1025768,Franklin Delano Roosevelt (FDR) Park,2026-06-06 17:41:00,2,39.9027901,-75.1819754
yelwar1,Northern Yellow Warbler,Setophaga aestiva,L1025768,Franklin Delano Roosevelt (FDR) Park,2026-06-06 17:41:00,1,39.9027901,-75.1819754
norcar,Northern Cardinal,Cardinalis cardinalis,L1025768,Franklin Delano Roosevelt (FDR) Park,2026-06-06 17:41:00,1,39.9027901,-75.1819754
mallar3,Mallard,Anas platyrhynchos,L1025768,Franklin Delano Roosevelt (FDR) Park,2026-06-06 17:40:00,5,39.9027901,-75.1819754
rewbla,Red-winged Blackbird,Agelaius phoeniceus,L1025768,Franklin Delano Roosevelt (FDR) Park,2026-06-06 17:40:00,3,39.9027901,-75.1819754
comgra,Common Grackle,Quiscalus quiscula,L1025768,Franklin Delano Roosevelt (FDR) Park,2026-06-06 17:40:00,1,39.9027901,-75.1819754
moudov,Mourning Dove,Zenaida macroura,L1025768,Franklin Delano Roosevelt (FDR) Park,2026-06-06 17:29:00,2,39.9027901,-75.1819754
osprey,Osprey,Pandion haliaetus,L1025768,Franklin Delano Roosevelt (FDR) Park,2026-06-06 17:29:00,1,39.9027901,-75.1819754
norfli,Northern Flicker,Colaptes auratus,L1025768,Franklin Delano Roosevelt (FDR) Park,2026-06-06 17:29:00,1,39.9027901,-75.1819754
grycat,Gray Catbird,Dumetella carolinensis,L1025768,Franklin Delano Roosevelt (FDR) Park,2026-06-06 17:29:00,4,39.9027901,-75.1819754
cedwax,Cedar Waxwing,Bombycilla cedrorum,L1025768,Franklin Delano Roosevelt (FDR) Park,2026-06-06 17:29:00,15,39.9027901,-75.1819754
bnhcow,Brown-headed Cowbird,Molothrus ater,L1025768,Franklin Delano Roosevelt (FDR) Park,2026-06-06 17:29:00,1,39.9027901,-75.1819754
comyel,Common Yellowthroat,Geothlypis trichas,L1025768,Franklin Delano Roosevelt (FDR) Park,2026-06-06 17:29:00,1,39.9027901,-75.1819754
rocpig,Rock Pigeon,Columba livia,L1025768,Franklin Delano Roosevelt (FDR) Park,2026-06-06 17:26:00,4,39.9027901,-75.1819754
chiswi,Chimney Swift,Chaetura pelagica,L1025768,Franklin Delano Roosevelt (FDR) Park,2026-06-06 17:26:00,1,39.9027901,-75.1819754
dowwoo,Downy Woodpecker,Dryobates pubescens,L1025768,Franklin Delano Roosevelt (FDR) Park,2026-06-06 17:26:00,1,39.9027901,-75.1819754
grcfly,Great Crested Flycatcher,Myiarchus crinitus,L1025768,Franklin Delano Roosevelt (FDR) Park,2026-06-06 17:26:00,1,39.9027901,-75.1819754
easkin,Eastern Kingbird,Tyrannus tyrannus,L1025768,Franklin Delano Roosevelt (FDR) Park,2026-06-06 17:26:00,2,39.9027901,-75.1819754
reevir1,Red-eyed Vireo,Vireo olivaceus,L1025768,Franklin Delano Roosevelt (FDR) Park,2026-06-06 17:26:00,1,39.9027901,-75.1819754
amecro,American Crow,Corvus brachyrhynchos,L1025768,Franklin Delano Roosevelt (FDR) Park,2026-06-06 17:26:00,2,39.9027901,-75.1819754
